Key,ko,Comment
"Arm Skip to Target","대상 도달 시 정지 활성화",""
"Blueprint class","블루프린트 클래스",""
"Blueprint class event","블루프린트 클래스 이벤트",""
"Captured: {0}","캡처됨: {0}",""
"Caution (4x-6x): use only outside physics, dense AI, complex UI animation, and networking-heavy sections.","주의(4~6배속): 물리, 밀집 AI, 복잡한 UI 애니메이션, 네트워크 부하 구간 밖에서만 사용하세요.",""
"Choose a target and the action to run when it is reached, then arm it.","대상과 도달 시 실행할 동작을 선택한 뒤 활성화하세요.",""
"Click an editor area to capture shortcuts. Current default: {0}","에디터 영역을 클릭해 단축키를 캡처합니다. 현재 기본값: {0}",""
"Configuration","설정",""
"Context Shortcuts","컨텍스트 단축키",""
"Control gameplay time dilation and audio playback speed together.","게임 시간 배율과 오디오 재생 속도를 함께 제어합니다.",""
"Copy all recent packaging log lines.","최근 패키징 로그 전체를 복사합니다.",""
"Copy errors","오류만 복사",""
"Copy only error-like packaging log lines.","오류로 보이는 패키징 로그만 복사합니다.",""
"e.g. BossPhase2 or a log category","예: BossPhase2 또는 로그 카테고리",""
"Enable editing to remove favorites or reorder the list.","즐겨찾기를 제거하거나 순서를 바꾸려면 편집을 활성화하세요.",""
"Function","함수",""
"Global Speed Control","전체 배속 제어",""
"High speed (over 6x): physics, timers, complex animation, and networking can become unreliable. Prefer Skip to Target.","고속(6배속 초과): 물리, 타이머, 복잡한 애니메이션, 네트워크 동작이 불안정할 수 있습니다. 대상 도달 시 정지를 우선 사용하세요.",""
"Limitations: pitch-based audio speed can affect sound pitch, and some systems with custom clocks, media playback, network replication, or native timers may not follow global time dilation exactly.","제한사항: 피치 기반 오디오 속도는 음높이에 영향을 줄 수 있으며, 사용자 시계·미디어 재생·네트워크 복제·네이티브 타이머는 전체 시간 배율을 정확히 따르지 않을 수 있습니다.",""
"Matches Output Log text or category, case-insensitively.","Output Log 텍스트 또는 카테고리와 대소문자 구분 없이 일치합니다.",""
"Matches the selected Blueprint class (including children) and exact function name.","선택한 블루프린트 클래스(하위 클래스 포함)와 정확한 함수 이름에 일치합니다.",""
"Maximum 20x: frame skips, timer order changes, collision misses, and UI/audio desync can occur. Use only with Skip to Target.","최대 20배속: 프레임 누락, 타이머 순서 변경, 충돌 누락, UI/오디오 비동기화가 발생할 수 있습니다. 대상 도달 시 정지와 함께만 사용하세요.",""
"Mouse-under-widget path: {0}","마우스 아래 위젯 경로: {0}",""
"Open a window that speeds up gameplay time dilation and audio playback together.","게임 시간 배율과 오디오 재생을 함께 빠르게 하는 창을 엽니다.",""
"Output Log text","Output Log 텍스트",""
"Pause PIE/Game (restore 1x)","PIE/게임 일시정지(1배속 복구)",""
"Restore 1x","1배속 복구",""
"Search and select Blueprint class...","블루프린트 클래스 검색 및 선택...",""
"Select function...","함수 선택...",""
"Show UMG/Slate speed limitations","UMG/Slate 배속 제한사항 표시",""
"Skip-only speed (8x+): not recommended for normal play. Use this to reach a log or event target, then pause.","스킵 전용 배속(8배속 이상): 일반 플레이에는 권장하지 않습니다. 로그 또는 이벤트 대상까지 도달한 뒤 일시정지하는 용도로 사용하세요.",""
"Speed","속도",""
"Speed snaps to 0.1x steps from 0.1x to 20x. Integer values are rounded cleanly; 1x restores normal time and audio pitch.","속도는 0.1배속부터 20배속까지 0.1 단위로 조절됩니다. 정수 값은 보기 좋게 보정되며, 1배속은 시간과 오디오 피치를 정상으로 복구합니다.",""
"Warning: high speed can increase CPU load and make heavy projects, many Tick events, timers, physics, animation, and audio updates unstable or harder to debug.","경고: 고속 재생은 CPU 부하를 높이고, 무거운 프로젝트·많은 Tick 이벤트·타이머·물리·애니메이션·오디오 업데이트를 불안정하거나 디버깅하기 어렵게 만들 수 있습니다.",""
"Copy all","전체 복사",
